od,wt,ID
2.063,3.2,1.797
2.063,3.6,1.759
2.063,4.2,1.693
2.063,4.6,1.655
2.063,5.2,1.589
2.375,4.0,2.041
2.375,4.6,1.995
2.375,4.7,1.995
2.375,5.8,1.867
2.375,6.0,1.867
2.875,6.2,2.469
2.875,6.4,2.441
2.875,6.5,2.441
2.875,7.8,2.323
2.875,7.9,2.323
2.875,8.6,2.259
2.875,8.7,2.259
3.500,6.7,3.158
3.500,7.7,3.068
3.500,9.2,2.992
3.500,9.3,2.992
3.500,10.2,2.992
3.500,12.6,2.764
3.500,12.7,2.750
3.500,13.0,2.750
4.000,9.3,3.550
4.000,9.5,3.548
4.000,10.9,3.476
4.000,11.0,3.480
4.000,11.6,3.428
4.000,12.6,3.364
4.000,13.0,3.340
4.000,14.8,3.240
4.000,16.5,3.140
4.250,14.0,3.649
4.250,15.1,3.598
4.250,17.0,3.500
4.250,18.6,3.420
4.500,6.8,4.216
4.500,8.8,4.124
4.500,9.5,4.090
4.500,10.5,4.051
4.500,11.6,4.000
4.500,11.8,3.980
4.500,12.6,3.958
4.500,13.5,3.920
4.500,15.1,3.826
4.500,16.6,3.754
4.500,17.0,3.740
4.500,18.9,3.640
4.500,19.1,3.626
4.500,21.5,3.500
4.500,23.7,3.380
4.500,26.1,3.240
4.750,16.0,4.082
4.750,16.5,4.070
4.750,18.0,4.000
4.750,20.0,3.910
4.750,21.0,3.850
5.000,8.0,4.696
5.000,11.5,4.560
5.000,12.9,4.500
5.000,13.0,4.494
5.000,14.0,4.450
5.000,15.0,4.408
5.000,17.7,4.300
5.000,18.0,4.276
5.000,20.3,4.184
5.000,20.8,4.156
5.000,21.0,4.154
5.000,21.4,4.126
5.000,23.2,4.044
5.000,24.1,4.000
5.000,26.7,3.751
5.000,29.2,3.625
5.000,31.6,3.501
5.000,34.0,3.375
5.250,8.5,4.944
5.250,10.0,4.886
5.250,13.0,4.768
5.250,16.0,4.650
5.500,9.0,5.192
5.500,13.0,5.044
5.500,14.0,5.012
5.500,15.0,4.974
5.500,15.5,4.950
5.500,17.0,4.892
5.500,20.0,4.778
5.500,23.0,4.670
5.500,23.8,4.626
5.500,25.0,4.580
5.500,26.0,4.548
5.500,26.8,4.500
5.500,28.4,4.440
5.500,29.7,4.376
5.500,32.3,4.276
5.500,32.6,4.250
5.500,35.3,4.126
5.500,36.4,4.090
5.500,38.0,4.000
5.500,40.5,3.876
5.500,43.1,3.750
5.563,15.0,5.047
5.563,21.0,4.813
5.625,15.6,5.172
5.625,19.4,5.090
5.625,20.8,5.054
5.625,23.8,4.990
5.750,14.0,5.290
5.750,17.0,5.190
5.750,19.5,5.090
5.750,22.5,4.990
5.750,23.0,4.996
5.750,25.2,4.890
6.000,10.5,5.672
6.000,12.0,5.620
6.000,14.0,5.552
6.000,15.0,5.524
6.000,16.0,5.500
6.000,17.0,5.450
6.000,18.0,5.424
6.000,20.0,5.352
6.000,23.0,5.240
6.000,26.0,5.132
6.625,12.0,6.287
6.625,13.0,6.255
6.625,17.0,6.135
6.625,19.5,6.065
6.625,20.0,6.049
6.625,22.0,5.989
6.625,23.2,5.965
6.625,24.0,5.921
6.625,25.0,5.880
6.625,26.0,5.855
6.625,26.6,5.837
6.625,28.0,5.791
6.625,29.0,5.761
6.625,32.0,5.675
6.625,33.0,5.625
6.625,34.0,5.595
6.625,34.5,5.575
6.625,36.7,5.501
6.625,40.2,5.375
6.625,43.7,5.251
6.625,47.1,5.125
6.625,50.4,5.001
6.625,53.7,4.875
6.625,56.8,4.751
6.625,59.9,4.625
6.625,62.9,4.501
6.625,65.8,4.375
6.625,71.3,4.125
7.000,13.0,6.652
7.000,17.0,6.538
7.000,20.0,6.456
7.000,22.0,6.398
7.000,23.0,6.366
7.000,24.0,6.336
7.000,26.0,6.276
7.000,28.0,6.214
7.000,29.0,6.184
7.000,29.8,6.168
7.000,30.0,6.154
7.000,32.0,6.094
7.000,33.7,6.048
7.000,34.0,6.040
7.000,35.0,6.004
7.000,35.3,6.000
7.000,38.0,5.920
7.000,40.0,5.836
7.000,41.0,5.820
7.000,42.7,5.750
7.000,43.0,5.736
7.000,44.0,5.720
7.000,45.4,5.660
7.000,46.4,5.626
7.000,49.5,5.540
7.000,50.1,5.500
7.000,53.6,5.376
7.000,57.1,5.250
7.000,60.5,5.126
7.000,63.9,5.000
7.000,67.1,4.876
7.000,70.3,4.750
7.000,76.3,4.500
7.625,14.8,7.263
7.625,20.0,7.125
7.625,24.0,7.025
7.625,26.4,6.969
7.625,29.7,6.875
7.625,33.7,6.765
7.625,34.0,6.760
7.625,35.5,6.710
7.625,36.0,6.705
7.625,38.0,6.655
7.625,39.0,6.625
7.625,42.5,6.501
7.625,45.3,6.435
7.625,47.1,6.375
7.625,51.2,6.251
7.625,52.8,6.201
7.625,55.3,6.125
7.625,59.2,6.001
7.625,63.2,5.875
7.625,66.9,5.751
7.625,70.1,5.625
7.625,74.3,5.501
7.625,77.9,5.375
7.750,46.1,6.560
8.000,16.0,7.628
8.000,20.0,7.528
8.000,23.1,7.440
8.000,26.0,7.386
8.125,28.0,7.485
8.125,32.0,7.385
8.125,36.0,7.285
8.125,40.0,7.185
8.125,42.0,7.125
8.625,17.5,8.249
8.625,20.0,8.191
8.625,24.0,8.097
8.625,25.0,8.065
8.625,25.6,8.071
8.625,28.0,8.017
8.625,29.4,7.981
8.625,32.0,7.921
8.625,32.4,7.917
8.625,36.0,7.825
8.625,38.0,7.775
8.625,40.0,7.725
8.625,43.0,7.651
8.625,44.0,7.625
8.625,48.0,7.537
8.625,49.0,7.511
8.625,49.1,7.501
8.625,52.0,7.435
8.625,54.0,7.375
8.625,58.7,7.251
8.625,63.5,7.125
8.625,68.1,7.001
8.625,72.7,6.875
8.625,77.1,6.751
8.750,49.7,7.636
9.000,19.0,8.608
9.000,34.0,8.290
9.000,38.0,8.196
9.000,40.0,8.150
9.000,45.0,8.032
9.000,50.2,7.910
9.000,54.0,7.810
9.000,55.0,7.812
9.375,39.0,8.575
9.625,29.3,9.063
9.625,32.3,9.001
9.625,36.0,8.921
9.625,38.0,8.885
9.625,40.0,8.835
9.625,42.0,8.799
9.625,43.5,8.755
9.625,47.0,8.681
9.625,53.5,8.535
9.625,57.4,8.450
9.625,58.4,8.435
9.625,59.4,8.407
9.625,61.1,8.375
9.625,64.9,8.281
9.625,70.3,8.157
9.625,71.8,8.125
9.625,75.6,8.031
9.625,80.8,7.907
9.625,86.0,7.781
9.625,91.0,7.657
9.625,92.7,7.635
9.750,59.2,8.560
9.750,62.6,8.625
9.875,62.8,8.625
9.875,66.9,8.539
9.875,68.8,8.475
9.875,70.4,8.461
9.875,72.1,8.425
10.000,22.8,9.582
10.000,30.3,9.434
10.000,30.1,9.420
10.000,33.0,9.384
10.000,41.5,9.200
10.000,45.5,9.120
10.000,50.5,9.016
10.000,55.5,8.908
10.000,60.0,8.780
10.000,68.7,8.624
10.125,79.3,8.535
10.750,32.8,10.192
10.750,35.8,10.136
10.750,40.0,10.054
10.750,40.5,10.050
10.750,45.0,9.960
10.750,45.5,9.950
10.750,48.0,9.902
10.750,51.0,9.850
10.750,54.0,9.784
10.750,55.5,9.760
10.750,60.7,9.660
10.750,65.7,9.560
10.750,71.1,9.450
10.750,73.2,9.406
10.750,76.0,9.350
10.750,79.2,9.282
10.750,81.0,9.250
10.750,85.3,9.156
10.750,91.2,9.032
10.750,97.1,8.906
10.750,102.9,8.782
10.750,108.7,8.656
10.750,109.0,8.684
10.875,72.0,9.563
11.000,26.8,10.552
11.000,35.4,10.380
11.750,38.0,11.150
11.750,42.0,11.084
11.750,47.0,11.000
11.750,50.0,10.950
11.750,54.0,10.880
11.750,60.0,10.772
11.750,61.0,10.770
11.750,65.0,10.682
11.750,66.7,10.656
11.750,71.0,10.586
11.750,73.6,10.532
11.750,75.0,10.514
11.750,79.0,10.438
11.750,80.5,10.406
11.750,83.0,10.368
11.750,87.2,10.282
11.875,71.8,10.711
12.000,31.5,11.514
12.000,38.7,11.350
12.000,40.0,11.384
12.750,43.0,12.130
12.750,45.5,12.090
12.750,51.2,12.000
12.750,53.0,11.970
12.750,65.4,11.750
13.000,36.5,12.482
13.000,40.0,12.438
13.000,45.0,12.360
13.000,47.3,12.300
13.000,50.0,12.282
13.000,54.0,12.220
13.375,48.0,12.715
13.375,54.5,12.615
13.375,61.0,12.515
13.375,68.0,12.415
13.375,72.0,12.347
13.375,77.0,12.275
13.375,80.7,12.215
13.375,83.0,12.175
13.375,85.0,12.159
13.375,86.0,12.125
13.375,91.0,12.055
13.375,92.0,12.031
13.375,96.0,11.975
13.375,98.0,11.937
13.375,100.3,11.907
13.375,102.0,11.899
13.500,80.4,12.348
13.500,81.4,12.340
13.625,79.1,12.515
13.625,88.2,12.375
14.000,42.0,13.448
14.000,50.0,13.344
14.000,51.0,13.300
14.000,57.0,13.250
14.000,82.5,12.876
14.000,85.9,12.800
14.000,92.7,12.700
14.000,94.8,12.688
14.000,99.3,12.624
14.000,99.4,12.600
14.000,106.0,12.500
14.000,106.1,12.500
14.000,110.0,12.456
14.000,111.0,12.442
14.000,112.6,12.406
14.000,112.8,12.400
14.000,119.4,12.300
15.000,47.5,14.418
15.000,59.3,14.240
15.000,61.2,14.250
16.000,52.5,15.396
16.000,55.0,15.375
16.000,63.4,15.240
16.000,65.0,15.250
16.000,70.0,15.198
16.000,75.0,15.125
16.000,84.0,15.010
16.000,94.5,14.876
16.000,95.0,14.868
16.000,96.0,14.850
16.000,109.0,14.688
16.000,118.0,14.570
16.000,128.0,14.438
16.000,138.0,14.300
16.000,146.0,14.188
16.100,110.5,14.766
16.125,95.6,14.992
17.000,73.2,16.214
18.000,70.6,17.250
18.000,78.0,17.194
18.000,80.0,17.180
18.000,84.0,17.124
18.000,87.5,17.088
18.000,96.5,16.986
18.625,73.1,17.785
18.625,78.0,17.855
18.625,87.5,17.755
18.625,94.5,17.689
18.625,96.5,17.655
18.625,97.7,17.653
18.625,99.0,17.625
18.625,105.0,17.563
18.625,109.0,17.491
18.625,112.0,17.467
18.625,115.0,17.437
18.625,122.0,17.385
18.625,126.0,17.353
18.625,133.0,17.239
18.625,138.0,17.185
20.000,84.8,19.190
20.000,85.6,19.182
20.000,90.0,19.166
20.000,94.0,19.124
20.000,104.1,19.000
20.000,106.5,19.000
20.000,118.5,18.874
20.000,131.0,18.750
20.000,133.0,18.730
20.000,141.9,18.623
20.000,147.0,18.582
20.000,154.2,18.500
20.000,169.0,18.376
20.000,175.0,18.314
20.000,184.0,18.188
20.000,202.9,18.000
20.000,250.3,17.500
21.500,92.5,20.710
21.500,103.0,20.610
21.500,114.0,20.510
22.000,92.5,21.222
22.000,101.0,21.125
22.000,103.0,21.128
22.000,114.0,21.028
22.000,114.8,21.000
22.000,142.7,20.750
22.000,170.2,20.500
22.000,224.3,20.000
22.000,277.0,19.500
24.000,94.6,23.250
24.000,100.5,23.226
24.000,113.0,23.124
24.000,125.5,23.000
24.000,140.7,22.880
24.000,155.0,22.750
24.000,171.3,22.620
24.000,190.5,23.000
24.000,238.4,22.060
24.000,241.1,23.250
24.000,241.1,22.730
24.000,245.5,22.700
24.000,258.9,22.624
24.000,281.2,22.500
24.000,302.1,22.376
24.000,304.0,21.500
24.000,365.5,22.000
24.000,536.4,21.000
24.500,88.0,23.850
24.500,100.5,23.750
24.500,113.0,23.650
24.500,197.9,23.500
24.500,208.3,23.438
24.500,241.1,23.250
24.500,245.5,23.230
26.000,85.6,25.376
26.000,136.2,25.000
26.000,202.3,24.500
26.000,252.1,24.750
26.000,265.0,24.000
26.000,301.0,24.500
26.000,331.8,24.376
26.000,352.7,24.268
26.000,397.3,24.000
26.000,491.6,23.500
26.000,584.0,23.000
28.000,146.9,27.000
28.000,182.7,26.750
28.000,218.3,26.500
28.000,288.4,26.000
28.000,357.1,25.500
28.000,424.4,25.000
30.000,157.7,29.000
30.000,196.1,28.750
30.000,234.3,28.500
30.000,235.0,28.500
30.000,309.7,28.000
30.000,310.0,28.000
30.000,383.8,27.500
30.000,453.2,27.000
30.000,524.0,26.500
30.000,533.0,26.500
30.000,593.6,26.000
32.000,250.3,30.500
32.000,331.1,30.000
32.000,410.5,29.500
32.000,488.6,29.000
32.000,640.8,28.000
32.000,656.4,28.500
34.000,266.3,32.500
34.000,352.4,32.000
34.000,437.2,31.500
34.000,520.7,31.000
34.000,602.8,30.500
34.000,683.5,30.000
36.000,282.4,34.500
36.000,374.0,34.000
36.000,463.9,33.500
36.000,551.0,33.187
36.000,552.7,33.000
36.000,640.1,32.500
36.000,726.2,32.000
38.000,298.4,36.500
38.000,395.2,36.000
38.000,490.6,35.500
38.000,584.7,35.000
38.000,677.5,34.500
38.000,769.0,34.000
40.000,314.4,38.500
40.000,416.5,38.000
40.000,517.3,37.500
40.000,616.8,37.000
40.000,714.9,36.500
40.000,811.7,36.000
40.000,907.1,35.500
42.000,330.4,40.500
42.000,437.9,40.000
42.000,544.0,39.500
42.000,648.8,39.000
42.000,752.3,38.500
42.000,854.4,38.000
42.000,955.2,37.500
44.000,346.4,42.500
44.000,459.2,42.000
44.000,570.7,41.500
44.000,680.9,41.000
44.000,789.7,40.500
44.000,897.1,40.000
44.000,1003.3,39.500
46.000,362.5,44.500
46.000,480.6,44.000
46.000,597.4,43.500
46.000,712.9,43.000
46.000,827.0,42.500
46.000,939.8,42.000
46.000,1051.3,41.500
46.000,1161.5,41.000
48.000,378.5,46.500
48.000,502.0,46.000
48.000,624.1,45.500
48.000,744.9,45.000
48.000,864.4,44.500
48.000,982.6,44.000
48.000,1099.4,43.500
48.000,1214.9,43.000
